authorMeta/fans,collectCount,commentCount,diggCount,isSponsored,playCount,shareCount,text,videoMeta/duration,webVideoUrl,tanggal,jam,hari_encoded,kota_Balikpapan,kota_Banda Aceh City,kota_Bandar Lampung City,kota_Bandung City,kota_Bandung Regency,kota_Banjarbaru,kota_Banjarmasin,kota_Banyumas Regency,kota_Banyuwangi,kota_Batam,kota_Bekasi City,kota_Bekasi Regency,kota_Binjai,kota_Bitung,kota_Bogor City,kota_Bogor Regency,kota_Central Hulu Sungai Regency,kota_Cilegon,kota_Cimahi,kota_Cirebon,kota_Cirebon City,kota_Deli Serdang Regency,kota_Denpasar,kota_Depok,kota_Garut Kota,kota_Gresik,kota_Hanoi,kota_Hoc Mon,kota_Jakarta,kota_Jambi City,kota_Jember,kota_Kapolei,kota_Kebumen,kota_Kediri City,kota_Kota Karawang,kota_Kuantan,kota_Lhokseumawe,kota_Lumajang,kota_Machang,kota_Madiun City,kota_Magelang,kota_Mahakam Ulu Regency,kota_Makassar,kota_Malang City,kota_Manado,kota_Medan Area,kota_Metro,kota_Muaro Jambi,kota_Nganjuk,kota_Padang,kota_Palembang,kota_Pasuruan Regency,kota_Pekalongan,kota_Pekanbaru,kota_Pematangsiantar,kota_Queens,kota_Salatiga,kota_Samarinda,kota_Saraphi District,kota_Semarang City,kota_Semarang Regency,kota_Sepang,kota_Serang City,kota_Sidoarjo,kota_Sleman,kota_South Tangerang,kota_Sukabumi City,kota_Sumedang,kota_Surabaya,kota_Surakarta City,kota_Tangerang City,kota_Tangerang Regency,kota_Tasikmalaya City,kota_Tegal City,kota_Tidak Mengisi/Tidak diketahui,kota_West Kutai Regency,kota_Yogyakarta City,kota_nan,username_encoded
1851,14,11,197,0,38100,7,Beli kopi kengan di Tiktok dapat Diskon 59% 😍 Caranya klik Lokasi di Vidio ini ya 👌 Jajan Kopi ga boncos lagi ☕️ 💃💃💃 #kuliner #kulinersukabumi #kulinersukabumienak #jajanansukabumi #sukabumiexplore #sukabumi #kopikenangan #kopikenangansukabumi ,28,https://www.tiktok.com/@kangreview_01/video/7515341682410261767,2025-06-13,8,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,186
18200,8,24,164,0,14100,15,#tiktokgo #tiktokinsights #kopikenangan #kopikenanganvoucher ,15,https://www.tiktok.com/@sweetiepie181/video/7515259932002848006,2025-06-13,2,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,370
365,13200,1290,98500,0,2700000,6456,Nyobain bayar @Kopi Kenangan pake Apple Wallet . Bayar bayar makin gampang tapi nyari duit masih susah wkwkwk #applepay #indonesia🇮🇩 #kopikenangan #ios18 #wwdc24 @Wise ,15,https://www.tiktok.com/@kamikaze6669/video/7382082197198572806,2024-06-19,5,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,183
973,2180,394,48400,0,822500,9754,haiiiiiii call me capynas!!🫶🏻  #kopikenangan #kopken #capybara #kopikenanganjambi ,16,https://www.tiktok.com/@naanazss/video/7501742005278625079,2025-05-07,16,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,259
1124,9075,1022,145400,0,2200000,33500,Gemas sekaliii capybara cupsleeve dari @Kopi Kenangan ini. Aku pilih yang donat soalnya bisa dicopot donatnya! Gemas yaaa? Bikin versi keychain lucu kali ya? Biar bisa dijadiin keychain dan cupsleeve gitu. #kopken #kopikenangan #capybara #capybaracupsleeve #cupsleeve #kopkencupsleeve #fyp #kopi ,16,https://www.tiktok.com/@kadangjalankadangjajan/video/7493510211848719622,2025-04-15,12,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,178
174000,4,1,37,0,4542,4,Emang iya kalau Ajak Teman Bikin Kenangan bisa bikin cuan? Coba tonton sampai habis ya! Jangan lupa klik link di bio setelah itu #KopiKenangan,39,https://www.tiktok.com/@kopikenangan.id/video/7515272075163028743,2025-06-13,3,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,206
339800,1768,51,5163,0,347000,2781,Tunggu apalagee klik pojok kiri ambil Kupon Discount-Nya😎 #kopi #kopikenangan ,18,https://www.tiktok.com/@ezalubis.official/video/7500817199800634632,2025-05-05,4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,105
1600000,16900,2009,318500,0,5300000,3345,pelanggan pertama😎 @Kopi Kenangan #KenanganFrappe #aziariza ,91,https://www.tiktok.com/@aziarizzza/video/7490874757517167877,2025-04-08,9,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,45
1411,245,67,2226,0,572500,165,Buruan cobain ☕️☕️☕️ #kopikenangan #tangcitymall ,23,https://www.tiktok.com/@heendra__11/video/7496893906265689350,2025-04-24,14,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,135
3955,2043,568,37500,0,4100000,1813,Kopi kenangan ,17,https://www.tiktok.com/@pamg617/video/7499384024486530310,2025-05-01,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,295
